threshold,true_positive,false_positive,false_negative,true_negative,precision,recall,f1,iou,accuracy
0.48,27825,56219,25936,1528420,0.33107657893484366,0.5175684976097915,0.4038315010340699,0.253000545553737,0.9498565673828125
0.49,27681,55314,26080,1529325,0.33352611603108623,0.5148899760049106,0.40482318874491796,0.2537795095118038,0.950321044921875
0.5,27539,54422,26222,1530217,0.3360012688961823,0.5122486560889864,0.4058148273677075,0.2545594039728978,0.95077880859375
0.51,27397,53499,26364,1531140,0.33866940268987344,0.5096073361730623,0.4069153478838827,0.25542606749953384,0.9512554931640625
0.52,27255,52617,26506,1532022,0.3412334735576923,0.5069660162571381,0.4079082262614773,0.2562089905807592,0.9517071533203125
0.53,27104,51722,26657,1532917,0.3438459391571309,0.5041572887409088,0.40884852964468615,0.25695135709071604,0.9521612548828124
0.54,26965,50803,26796,1533836,0.34673644686760624,0.5015717713584197,0.41002364497563276,0.25788034122642595,0.9526373291015625
0.55,26817,49945,26944,1534694,0.34935254422761264,0.49881884637562546,0.4109160837553535,0.258586774150001,0.9530706787109375
0.56,26674,49172,27087,1535467,0.35168631173694065,0.49615892561522296,0.41161357025469303,0.25913944021839447,0.9534552001953125
0.57,26533,48275,27228,1536364,0.35468131750614906,0.4935362065437771,0.4127433518188677,0.2600356736837979,0.9539166259765625
0.58,26399,47409,27362,1537230,0.3576712551484934,0.4910436933836796,0.41387797975997304,0.26093703667094986,0.9543634033203126
0.59,26243,46484,27518,1538155,0.36084260315976185,0.4881419616450587,0.41494845360824745,0.26178861788617885,0.954832763671875
0.6,26095,45662,27666,1538977,0.3636579009713338,0.48538903666226446,0.41579693749103713,0.26246441970167866,0.955244140625
0.61,25942,44767,27819,1539872,0.36688398930829175,0.48254310745707857,0.4168393990519804,0.26329571289379666,0.955697021484375
0.62,25786,43997,27975,1540642,0.36951693105770744,0.4796413757184576,0.4174383215696432,0.2637738087931423,0.95607177734375
0.63,25594,43057,28167,1541582,0.37281321466548195,0.47607001357861645,0.41816161814201225,0.2643516701439815,0.9565283203125
0.64,25421,42239,28340,1542400,0.375716819391073,0.47285206748386377,0.41872493226048213,0.2648020833333333,0.9569219970703124
0.65,25220,41333,28541,1543306,0.3789461031057954,0.46911329774371757,0.41923633159898266,0.2652112646434055,0.957352294921875
0.66,25017,40510,28744,1544129,0.38178155569459915,0.46533732631461466,0.4194386694386694,0.2653732324893127,0.957730712890625
0.67,24836,39617,28925,1545022,0.3853350503467643,0.46197057346403525,0.42018711827702304,0.2659727130587505,0.958165283203125
0.68,24666,38739,29095,1545900,0.38902294771705703,0.4588084299027176,0.42104364747452333,0.26665945945945946,0.958597412109375
0.69,24456,37815,29305,1546824,0.3927349809702751,0.45490225256226635,0.4215388858246001,0.2670568707958417,0.959033203125
0.7,24253,36895,29508,1547744,0.3966278537319291,0.45112628113316344,0.4221253339599161,0.267527797387928,0.9594708251953125
0.71,24003,35924,29758,1548715,0.4005373204064946,0.44647607001357864,0.42226092463584547,0.26763672854992476,0.959910888671875
0.72,23761,34957,30000,1549682,0.4046629653598556,0.4419746656498205,0.42249664381795715,0.26782614576523367,0.9603533935546875
0.73,23503,33858,30258,1550781,0.40973832394832727,0.437175647774409,0.42301254477061245,0.26824090665266664,0.96086669921875
0.74,23243,32845,30518,1551794,0.41440236770788763,0.43233942821004073,0.4231809119791714,0.2683763249659377,0.9613262939453125
0.75,22948,31804,30813,1552835,0.41912624196376386,0.42685217908893064,0.4229539317869748,0.26819377081750717,0.9617816162109375
0.76,22652,30612,31109,1554027,0.42527786121958544,0.4213463291233422,0.42330296659658956,0.2684745119884323,0.9623284912109376
